Timestamp,AFRDifference,BatteryVoltage,IgnitionTiming,CurrentDutyCycle,Load,IgnitionLoad,MAPSource,LambdaSensor1,ThrottlePosition,BaseFuel,BaseIgnition,RPM,TransientThrottleEnrichSensitivity,TransientThrottlePercentageAsync,RPM_delta,Load_delta,RPM_roll_avg,RPM_roll_std,DrivingStyle,Behaviour
07:21:45.906,-113.0,13262.0,154.0,21.0,410.0,410.0,410.0,1113.0,,338.0,308.0,961.0,2750.0,,,,,,Neutral,Cruising
07:21:45.985,-114.0,13309.0,146.0,22.0,410.0,410.0,411.0,1114.0,,339.0,300.0,1003.0,2748.0,,42.0,0.0,,,Neutral,Accelerating
07:21:46.047,-114.0,13309.0,149.0,,408.0,408.0,409.0,1114.0,,338.0,303.0,986.0,2750.0,,-17.0,-2.0,,,Neutral,Braking
07:21:46.110,-115.0,13341.0,152.0,22.0,411.0,411.0,412.0,1115.0,,338.0,306.0,972.0,2750.0,800.0,-14.0,3.0,,,Neutral,Braking
07:21:46.172,-84.0,13341.0,146.0,23.0,407.0,407.0,408.0,1084.0,,340.0,300.0,1039.0,2741.0,799.0,67.0,-4.0,992.2,30.523761236125527,Neutral,Accelerating
07:21:46.235,-79.0,13325.0,146.0,23.0,406.0,406.0,407.0,1079.0,,340.0,300.0,1015.0,2714.0,794.0,-24.0,-1.0,1003.0,25.93260495977986,Neutral,Braking
07:21:46.281,-82.0,13247.0,153.0,22.0,403.0,403.0,403.0,1082.0,,337.0,307.0,968.0,2750.0,800.0,-47.0,-3.0,996.0,30.290262461721905,Neutral,Braking
07:21:46.656,-72.0,13325.0,153.0,22.0,412.0,412.0,412.0,1072.0,,338.0,307.0,966.0,2750.0,800.0,-2.0,9.0,992.0,33.128537546954874,Neutral,Accelerating
07:21:46.719,-73.0,13278.0,146.0,23.0,408.0,408.0,409.0,1073.0,,342.0,300.0,1022.0,2734.0,798.0,56.0,-4.0,1002.0,33.128537546954874,Neutral,Accelerating
07:21:47.063,-71.0,13294.0,149.0,22.0,411.0,411.0,412.0,1071.0,,,303.0,988.0,2750.0,800.0,-34.0,3.0,991.8,25.96536154186956,Neutral,Braking
07:21:47.188,-77.0,13309.0,152.0,22.0,411.0,411.0,411.0,1077.0,,,306.0,974.0,2750.0,800.0,-14.0,0.0,983.6,23.125743231299584,Neutral,Braking
