Timestamp,AFRDifference,BatteryVoltage,IgnitionTiming,CurrentDutyCycle,Load,IgnitionLoad,MAPSource,LambdaSensor1,ThrottlePosition,BaseFuel,BaseIgnition,RPM,TransientThrottleEnrichSensitivity,TransientThrottlePercentageAsync,RPM_delta,Load_delta,RPM_roll_avg,RPM_roll_std,DrivingStyle,Behaviour
37:55.2,92.0,13325.0,134.0,34.0,395,395.0,396.0,908.0,,387.0,304.0,1377,2382.0,747.0,,,,,Braking,Cruising
37:55.3,92.0,13341.0,133.0,33.0,399,399.0,400.0,908.0,,385.0,303.0,1349,2418.0,754.0,-28.0,4.0,,,Braking,Braking
37:55.4,90.0,13325.0,,,402,402.0,401.0,910.0,,389.0,,1361,2409.0,752.0,12.0,3.0,,,Braking,Accelerating
37:56.0,90.0,13309.0,134.0,,400,400.0,400.0,910.0,9.0,390.0,304.0,1377,2408.0,752.0,16.0,-2.0,,,Braking,Accelerating
37:56.1,92.0,13294.0,133.0,,401,401.0,400.0,908.0,10.0,389.0,303.0,1361,2401.0,751.0,-16.0,1.0,1365.0,12.0,Cruising,Braking
37:56.1,,13294.0,133.0,,402,402.0,402.0,,,391.0,303.0,1373,2399.0,750.0,12.0,1.0,1364.2,11.09954954,Cruising,Accelerating
37:56.2,92.0,13278.0,134.0,,399,399.0,400.0,908.0,,391.0,304.0,1386,2388.0,748.0,13.0,-3.0,1371.6,10.76104084,Cruising,Accelerating
37:56.5,95.0,13341.0,134.0,34.0,396,396.0,397.0,905.0,,390.0,304.0,1393,2393.0,749.0,7.0,-3.0,1378.0,12.28820573,Cruising,Accelerating
37:56.6,94.0,13294.0,135.0,35.0,396,396.0,396.0,906.0,,392.0,305.0,1410,2373.0,746.0,17.0,0.0,1384.6,18.76965636,Cruising,Accelerating
37:56.7,88.0,13325.0,135.0,,393,393.0,393.0,912.0,,390.0,305.0,1411,2373.0,,1.0,-3.0,1394.6,16.19567844,Cruising,Cruising
37:56.8,90.0,13278.0,134.0,35.0,395,395.0,395.0,910.0,10.0,391.0,304.0,1405,2377.0,746.0,-6.0,2.0,1401.0,11.02270384,Cruising,Braking
37:56.8,90.0,,134.0,34.0,393,393.0,393.0,910.0,9.0,388.0,304.0,1401,2382.0,747.0,-4.0,-2.0,1404.0,7.348469228,Cruising,Cruising
37:57.3,94.0,13325.0,134.0,,394,394.0,394.0,906.0,10.0,387.0,304.0,1383,2398.0,750.0,-18.0,1.0,1402.0,11.35781669,Cruising,Braking
37:57.4,94.0,13278.0,,,396,396.0,397.0,906.0,,389.0,,1387,2389.0,749.0,4.0,2.0,1397.4,11.9498954,Cruising,Cruising
37:57.9,102.0,13309.0,,35.0,395,395.0,395.0,898.0,,391.0,,1406,2378.0,747.0,19.0,-1.0,1396.4,10.66770828,Cruising,Accelerating
37:58.0,101.0,13325.0,,34.0,393,393.0,393.0,899.0,10.0,388.0,,1396,2384.0,748.0,-10.0,-2.0,1394.6,9.555103348,Cruising,Braking
37:58.1,101.0,13278.0,,34.0,395,395.0,395.0,899.0,10.0,389.0,,1391,2387.0,748.0,-5.0,2.0,1392.6,8.905054744,Cruising,Braking
37:58.4,97.0,13278.0,134.0,34.0,396,396.0,397.0,903.0,10.0,388.0,304.0,1381,2388.0,748.0,-10.0,1.0,1392.2,9.471008394,Cruising,Braking
37:58.5,98.0,13325.0,135.0,35.0,395,395.0,395.0,902.0,0.0,393.0,305.0,1418,2384.0,746.0,37.0,-1.0,1398.4,14.18802312,Cruising,Accelerating
37:58.6,91.0,13341.0,135.0,34.0,379,379.0,377.0,909.0,,382.0,305.0,1429,2426.0,743.0,11.0,-16.0,1403.0,19.86202407,Cruising,Accelerating
37:58.6,94.0,,133.0,31.0,368,368.0,368.0,906.0,,367.0,303.0,1373,2471.0,751.0,-56.0,-11.0,1398.4,24.09979253,Cruising,Braking
37:58.7,94.0,13341.0,132.0,29.0,362,362.0,363.0,906.0,,358.0,302.0,1317,2504.0,757.0,-56.0,-6.0,1383.6,44.15653972,Cruising,Braking
37:58.8,92.0,13325.0,130.0,27.0,361,361.0,361.0,908.0,,353.0,300.0,1266,2540.0,763.0,-51.0,-1.0,1360.6,68.8788792,Cruising,Braking
37:58.8,93.0,13341.0,,26.0,363,363.0,363.0,907.0,,349.0,,1199,2584.0,771.0,-67.0,2.0,1316.8,89.72847931,Cruising,Braking
37:59.2,94.0,13309.0,130.0,23.0,400,400.0,400.0,906.0,,338.0,300.0,1014,2740.0,799.0,-185.0,37.0,1233.8,138.6170985,Cruising,Accelerating
37:59.4,94.0,13294.0,133.0,23.0,418,418.0,419.0,906.0,,344.0,303.0,980,,,-34.0,18.0,1155.2,150.8366666,Cruising,Accelerating
37:59.6,109.0,13341.0,137.0,23.0,430,430.0,430.0,891.0,,358.0,307.0,940,,,-40.0,12.0,1079.8,143.7991655,Braking,Accelerating
37:59.9,108.0,13325.0,132.0,25.0,451,451.0,451.0,892.0,,380.0,302.0,934,,,-6.0,21.0,1013.4,108.691306,Braking,Accelerating
38:00.0,115.0,13294.0,123.0,26.0,449,449.0,448.0,885.0,,380.0,293.0,977,,,43.0,-2.0,969.0,32.69556545,Braking,Accelerating
38:00.1,115.0,13278.0,130.0,25.0,446,446.0,446.0,885.0,,375.0,300.0,951,,,-26.0,-3.0,956.4,21.10213259,Braking,Braking
38:00.1,95.0,13294.0,126.0,25.0,449,449.0,447.0,905.0,,380.0,296.0,966,,,15.0,3.0,953.6,17.86896751,Braking,Accelerating
38:00.6,84.0,,122.0,26.0,439,439.0,439.0,916.0,,370.0,292.0,1002,2749.0,800.0,36.0,-10.0,966.0,25.81666129,Braking,Accelerating
38:00.7,83.0,13278.0,123.0,26.0,436,436.0,434.0,917.0,,368.0,293.0,1014,2740.0,799.0,12.0,-3.0,982.0,25.81666129,Braking,Accelerating
38:00.8,84.0,13153.0,124.0,25.0,434,434.0,433.0,916.0,,363.0,294.0,996,2731.0,797.0,-18.0,-2.0,985.8,26.29068276,Braking,Braking
38:01.5,75.0,13247.0,127.0,25.0,424,424.0,423.0,925.0,,358.0,297.0,1046,2716.0,794.0,50.0,-10.0,1004.8,29.03790626,Braking,Accelerating
38:01.5,74.0,,126.0,24.0,426,426.0,425.0,926.0,,356.0,296.0,1010,2746.0,800.0,-36.0,2.0,1013.6,19.41133689,Braking,Braking
38:01.7,76.0,13247.0,126.0,25.0,427,427.0,427.0,924.0,,357.0,296.0,1010,2739.0,798.0,0.0,1.0,1015.2,18.52565788,Braking,Cruising
38:01.7,76.0,13278.0,129.0,24.0,426,426.0,426.0,924.0,,354.0,299.0,988,2750.0,800.0,-22.0,-1.0,1010.0,22.22611077,Braking,Braking
38:02.3,76.0,13278.0,125.0,25.0,430,430.0,430.0,924.0,,362.0,295.0,1017,2738.0,798.0,29.0,4.0,1014.2,20.8614477,Braking,Accelerating
38:02.4,77.0,13200.0,128.0,24.0,427,427.0,428.0,923.0,,355.0,298.0,990,2750.0,800.0,-27.0,-3.0,1003.0,13.11487705,Braking,Braking
38:02.5,76.0,13153.0,130.0,24.0,430,430.0,430.0,924.0,,359.0,300.0,975,,,-15.0,3.0,996.0,17.1610023,Braking,Braking
38:02.6,76.0,13262.0,124.0,25.0,433,433.0,432.0,924.0,,365.0,294.0,1015,2750.0,800.0,40.0,3.0,997.0,18.28934116,Braking,Accelerating
38:02.6,75.0,13262.0,125.0,26.0,430,430.0,429.0,925.0,,366.0,295.0,1044,2717.0,795.0,29.0,-3.0,1008.2,26.64019519,Braking,Accelerating
38:03.1,78.0,13278.0,126.0,25.0,427,427.0,427.0,922.0,,359.0,296.0,1026,2729.0,797.0,-18.0,-3.0,1010.0,27.66767066,Braking,Braking
38:03.2,80.0,13247.0,,24.0,425,425.0,426.0,920.0,,354.0,,1017,2748.0,800.0,-9.0,-2.0,1015.4,25.32390175,Braking,Braking
38:03.3,78.0,13309.0,126.0,25.0,425,425.0,425.0,922.0,,356.0,296.0,1019,2736.0,798.0,2.0,0.0,1024.2,11.81947545,Braking,Cruising
38:03.4,78.0,13262.0,127.0,25.0,422,422.0,423.0,922.0,,354.0,297.0,1022,2729.0,797.0,3.0,-3.0,1025.6,10.83051245,Braking,Cruising
38:03.4,77.0,13216.0,129.0,24.0,422,422.0,421.0,923.0,,349.0,299.0,995,2734.0,798.0,-27.0,0.0,1015.8,12.11197754,Braking,Braking
38:03.5,75.0,13262.0,126.0,24.0,426,426.0,426.0,925.0,,356.0,296.0,1007,2745.0,800.0,12.0,4.0,1012.0,11.04536102,Braking,Accelerating
38:03.8,71.0,13247.0,127.0,25.0,424,424.0,424.0,929.0,,354.0,297.0,1014,2740.0,799.0,7.0,-2.0,1011.4,10.78424777,Braking,Accelerating
38:03.8,72.0,13231.0,126.0,25.0,427,427.0,426.0,928.0,,357.0,296.0,1008,2744.0,799.0,-6.0,3.0,1009.2,9.934787366,Braking,Braking
38:03.9,71.0,13262.0,130.0,24.0,426,426.0,424.0,929.0,,354.0,300.0,984,2749.0,800.0,-24.0,-1.0,1001.6,12.0124935,Braking,Braking
38:04.1,70.0,13262.0,131.0,24.0,433,433.0,432.0,930.0,,361.0,301.0,966,,,-18.0,7.0,995.8,20.20396001,Braking,Accelerating
38:04.1,71.0,13216.0,136.0,23.0,437,437.0,436.0,929.0,,365.0,306.0,933,2750.0,,-33.0,4.0,981.0,33.0,Braking,Braking
38:04.2,76.0,13262.0,135.0,24.0,444,444.0,445.0,924.0,,372.0,305.0,930,2743.0,,-3.0,7.0,964.2,33.37963451,Braking,Accelerating
38:04.3,75.0,13262.0,141.0,23.0,442,442.0,443.0,925.0,0.0,369.0,311.0,902,2750.0,,-28.0,-2.0,943.0,32.24903099,Braking,Braking
38:04.4,78.0,13262.0,134.0,24.0,452,452.0,451.0,922.0,0.0,381.0,304.0,919,2750.0,,17.0,10.0,930.0,23.50531855,Braking,Accelerating
38:04.5,74.0,13137.0,133.0,25.0,460,460.0,460.0,926.0,1.0,390.0,303.0,916,2743.0,,-3.0,8.0,920.0,12.34908904,Braking,Accelerating
38:04.6,72.0,13231.0,128.0,26.0,463,463.0,463.0,928.0,1.0,394.0,298.0,929,2750.0,,13.0,3.0,919.2,11.38859078,Braking,Accelerating
38:04.9,74.0,13278.0,128.0,,467,467.0,467.0,926.0,1.0,398.0,298.0,927,,,-2.0,4.0,918.6,10.73778376,Braking,Cruising
38:05.0,76.0,13247.0,129.0,26.0,467,467.0,467.0,924.0,2.0,398.0,299.0,923,2743.0,,-4.0,0.0,922.8,5.403702434,Braking,Cruising
38:05.0,74.0,13153.0,121.0,27.0,469,469.0,468.0,926.0,1.0,402.0,291.0,954,2735.0,,31.0,2.0,929.8,14.41180072,Braking,Accelerating
38:05.1,76.0,13106.0,122.0,27.0,467,467.0,466.0,924.0,2.0,399.0,292.0,952,2743.0,,-2.0,-2.0,937.0,14.7817455,Braking,Cruising
38:05.1,84.0,13200.0,128.0,26.0,465,465.0,465.0,916.0,2.0,396.0,298.0,931,2728.0,,-21.0,-2.0,937.4,14.5361618,Braking,Braking
38:05.2,79.0,13309.0,116.0,27.0,466,466.0,467.0,921.0,3.0,398.0,286.0,983,,,52.0,1.0,948.6,23.39444378,Braking,Accelerating
38:05.3,74.0,13294.0,115.0,28.0,464,464.0,464.0,926.0,,399.0,285.0,994,2728.0,,11.0,-2.0,962.8,25.43029689,Braking,Accelerating
38:05.4,80.0,13278.0,116.0,28.0,460,460.0,460.0,920.0,3.0,394.0,286.0,996,2718.0,800.0,2.0,-4.0,971.2,28.54295009,Braking,Cruising
38:05.5,82.0,13309.0,116.0,29.0,456,456.0,457.0,918.0,4.0,395.0,286.0,1047,2692.0,794.0,51.0,-4.0,990.2,41.32432698,Braking,Accelerating
38:05.5,78.0,13278.0,117.0,28.0,453,453.0,454.0,922.0,,390.0,287.0,1028,2708.0,797.0,-19.0,-3.0,1009.6,26.80111938,Braking,Braking
38:05.6,93.0,13247.0,117.0,29.0,453,453.0,454.0,907.0,4.0,396.0,287.0,1077,2681.0,793.0,49.0,0.0,1028.4,35.14683485,Braking,Accelerating
38:05.7,98.0,13216.0,119.0,31.0,446,446.0,446.0,902.0,5.0,396.0,289.0,1140,2609.0,782.0,63.0,-7.0,1057.6,54.65619818,Braking,Accelerating
38:05.8,97.0,13262.0,121.0,,440,440.0,440.0,903.0,5.0,393.0,291.0,1162,2578.0,779.0,22.0,-6.0,1090.8,58.18676826,Braking,Accelerating
38:05.9,97.0,13278.0,122.0,,437,437.0,435.0,903.0,7.0,390.0,292.0,1161,2586.0,779.0,-1.0,-3.0,1113.6,59.06183201,Cruising,Cruising
38:05.9,102.0,13278.0,123.0,,434,434.0,434.0,898.0,8.0,388.0,293.0,1171,2572.0,778.0,10.0,-3.0,1142.2,38.17983761,Cruising,Accelerating
38:06.1,92.0,13184.0,124.0,31.0,432,432.0,432.0,908.0,9.0,389.0,294.0,1197,2538.0,774.0,26.0,-2.0,1166.2,20.63249864,Cruising,Accelerating
38:06.3,94.0,13231.0,124.0,,432,432.0,431.0,906.0,10.0,398.0,294.0,1254,2498.0,767.0,57.0,0.0,1189.0,39.13438386,Cruising,Accelerating
38:06.4,92.0,,125.0,33.0,428,428.0,428.0,908.0,,397.0,295.0,1274,2480.0,765.0,20.0,-4.0,1211.4,50.28220361,Cruising,Accelerating
38:06.5,85.0,13231.0,127.0,35.0,427,427.0,427.0,915.0,,400.0,297.0,1304,2461.0,762.0,30.0,-1.0,1240.0,54.90446248,Cruising,Accelerating
38:06.5,88.0,13309.0,128.0,34.0,422,422.0,423.0,912.0,,394.0,298.0,1295,2458.0,761.0,-9.0,-5.0,1264.8,42.56406935,Cruising,Braking
38:06.6,86.0,13262.0,128.0,34.0,424,424.0,424.0,914.0,,396.0,298.0,1297,2464.0,761.0,2.0,2.0,1284.8,20.5353354,Cruising,Cruising
38:06.7,86.0,13247.0,129.0,35.0,422,422.0,422.0,914.0,,400.0,299.0,1330,2446.0,759.0,33.0,-2.0,1300.0,20.16184515,Cruising,Accelerating
38:06.7,84.0,13294.0,131.0,34.0,418,418.0,418.0,916.0,,397.0,301.0,1336,2430.0,756.0,6.0,-4.0,1312.4,19.21717981,Cruising,Accelerating
38:06.8,80.0,13278.0,131.0,34.0,416,416.0,416.0,920.0,,395.0,301.0,1332,2431.0,756.0,-4.0,-2.0,1318.0,20.21138293,Cruising,Cruising
38:06.9,79.0,13262.0,133.0,35.0,415,415.0,415.0,921.0,,397.0,303.0,1353,2412.0,753.0,21.0,-1.0,1329.6,20.35436071,Cruising,Accelerating
38:07.3,81.0,13309.0,134.0,35.0,401,401.0,401.0,919.0,10.0,393.0,304.0,1392,2387.0,748.0,39.0,-14.0,1348.6,25.89980695,Cruising,Accelerating
38:07.4,81.0,13262.0,135.0,36.0,399,399.0,400.0,919.0,11.0,396.0,305.0,1424,2370.0,746.0,32.0,-2.0,1367.4,39.54491118,Cruising,Accelerating
38:07.5,83.0,13278.0,,35.0,397,397.0,397.0,917.0,10.0,394.0,,1423,2364.0,744.0,-1.0,-2.0,1384.8,41.37269631,Cruising,Cruising
38:07.5,88.0,13309.0,135.0,35.0,393,393.0,393.0,912.0,11.0,393.0,305.0,1433,2362.0,744.0,10.0,-4.0,1405.0,32.94692702,Cruising,Accelerating
38:07.6,89.0,13294.0,136.0,36.0,390,390.0,390.0,911.0,10.0,392.0,306.0,1447,2351.0,742.0,14.0,-3.0,1423.8,20.21633003,Cruising,Accelerating
38:08.0,90.0,13294.0,130.0,27.0,353,353.0,353.0,910.0,0.0,350.0,300.0,1281,2510.0,758.0,-166.0,-37.0,1401.6,68.10139499,Cruising,Braking
38:08.2,84.0,13309.0,,,375,375.0,374.0,916.0,3.0,348.0,,1143,2617.0,779.0,-138.0,22.0,1345.4,131.4640635,Cruising,Accelerating
38:08.3,83.0,13294.0,,25.0,387,387.0,388.0,917.0,4.0,347.0,,1102,2645.0,787.0,-41.0,12.0,1281.2,159.4873036,Cruising,Accelerating
38:08.3,84.0,13262.0,,24.0,396,396.0,397.0,916.0,5.0,345.0,,1060,2669.0,792.0,-42.0,9.0,1206.6,157.959805,Cruising,Accelerating
38:08.4,94.0,13294.0,130.0,25.0,410,410.0,411.0,906.0,7.0,350.0,300.0,1071,2661.0,791.0,11.0,14.0,1131.4,89.61752061,Cruising,Accelerating
38:08.5,94.0,13262.0,126.0,26.0,426,426.0,426.0,906.0,8.0,362.0,296.0,1051,2653.0,794.0,-20.0,16.0,1085.4,37.51399739,Braking,Accelerating
38:08.5,95.0,13278.0,122.0,27.0,439,439.0,438.0,905.0,9.0,375.0,292.0,1044,2651.0,795.0,-7.0,13.0,1065.6,22.72223581,Braking,Accelerating
38:08.7,91.0,13231.0,113.0,31.0,463,463.0,463.0,909.0,10.0,407.0,283.0,1078,2625.0,791.0,34.0,24.0,1060.8,13.95349419,Braking,Accelerating
38:08.8,93.0,13262.0,112.0,32.0,468,468.0,468.0,907.0,11.0,416.0,282.0,1111,2606.0,789.0,33.0,5.0,1071.0,26.35336791,Braking,Accelerating
38:08.9,105.0,13278.0,111.0,33.0,470,470.0,471.0,895.0,11.0,420.0,281.0,1129,2574.0,783.0,18.0,2.0,1082.6,36.97701989,Braking,Accelerating
38:09.0,105.0,13231.0,111.0,36.0,471,471.0,471.0,895.0,12.0,430.0,281.0,1211,2518.0,775.0,82.0,1.0,1114.6,62.92296878,Cruising,Accelerating
38:09.1,88.0,13231.0,114.0,37.0,462,462.0,461.0,912.0,12.0,427.0,284.0,1265,2478.0,767.0,54.0,-9.0,1158.8,76.98181603,Cruising,Accelerating
38:09.1,75.0,13247.0,119.0,38.0,453,453.0,454.0,925.0,13.0,425.0,289.0,1330,2420.0,758.0,65.0,-9.0,1209.2,91.90320995,Cruising,Accelerating
38:09.2,70.0,13278.0,124.0,39.0,443,443.0,443.0,930.0,12.0,425.0,294.0,1383,2391.0,752.0,53.0,-10.0,1263.6,99.4374175,Cruising,Accelerating
38:09.3,65.0,13231.0,128.0,40.0,436,436.0,435.0,935.0,12.0,424.0,298.0,1420,2359.0,746.0,37.0,-7.0,1321.8,85.08642665,Cruising,Accelerating
38:09.3,67.0,13262.0,132.0,,427,427.0,427.0,933.0,13.0,422.0,302.0,1449,2317.0,741.0,29.0,-9.0,1369.4,73.37097519,Cruising,Accelerating
38:09.4,64.0,13278.0,137.0,,415,415.0,415.0,936.0,14.0,419.0,307.0,1491,2292.0,736.0,42.0,-12.0,1414.6,61.65468352,Cruising,Accelerating
38:09.5,54.0,13278.0,139.0,,404,404.0,402.0,946.0,14.0,414.0,309.0,1535,2253.0,729.0,44.0,-11.0,1455.6,59.45418404,Cruising,Accelerating
38:09.6,54.0,13262.0,140.0,,397,397.0,396.0,946.0,13.0,409.0,310.0,1568,2232.0,725.0,33.0,-7.0,1492.6,60.53346182,Cruising,Accelerating
38:09.6,60.0,13309.0,140.0,40.0,387,387.0,387.0,940.0,14.0,402.0,310.0,1585,2218.0,722.0,17.0,-10.0,1525.6,55.85516986,Accelerating,Accelerating
38:09.7,61.0,13278.0,141.0,39.0,382,382.0,383.0,939.0,,397.0,311.0,1600,2216.0,722.0,15.0,-5.0,1555.8,43.55111939,Accelerating,Accelerating
38:10.2,78.0,13294.0,140.0,,371,371.0,370.0,922.0,,387.0,310.0,1578,2218.0,722.0,-22.0,-11.0,1573.2,24.32488438,Accelerating,Braking
38:10.3,90.0,13278.0,139.0,,372,372.0,373.0,910.0,,386.0,309.0,1559,2241.0,727.0,-19.0,1.0,1578.0,15.76388277,Accelerating,Braking
38:10.4,92.0,13247.0,,,375,375.0,375.0,908.0,,389.0,,1553,2232.0,725.0,-6.0,3.0,1575.0,19.19635382,Accelerating,Braking
38:10.5,90.0,13309.0,,,374,374.0,374.0,910.0,,388.0,,1560,2236.0,726.0,7.0,-1.0,1570.0,19.19635382,Accelerating,Accelerating
38:10.5,92.0,13309.0,139.0,,375,375.0,374.0,908.0,,389.0,309.0,1557,2234.0,727.0,-3.0,1.0,1561.4,9.659192513,Accelerating,Cruising
38:11.0,80.0,13309.0,140.0,,374,374.0,374.0,920.0,,390.0,310.0,1576,2224.0,724.0,19.0,-1.0,1561.0,8.803408431,Accelerating,Accelerating
38:11.1,78.0,13294.0,139.0,,375,375.0,375.0,922.0,,389.0,309.0,1552,2237.0,726.0,-24.0,1.0,1559.6,9.710818709,Accelerating,Braking
38:11.3,74.0,13309.0,,37.0,374,374.0,374.0,926.0,,389.0,,1571,2231.0,725.0,19.0,-1.0,1563.2,9.984988733,Accelerating,Accelerating
38:11.8,71.0,13294.0,,,375,375.0,376.0,929.0,,389.0,,1553,2246.0,728.0,-18.0,1.0,1561.8,10.98635517,Accelerating,Braking
38:11.9,70.0,13294.0,,,375,375.0,375.0,930.0,,388.0,,1546,2251.0,729.0,-7.0,0.0,1559.6,13.08816259,Accelerating,Braking
38:12.5,66.0,13247.0,140.0,37.0,376,376.0,376.0,934.0,,391.0,310.0,1566,2232.0,725.0,20.0,1.0,1557.6,10.45466403,Accelerating,Accelerating
38:12.6,64.0,13294.0,139.0,,373,373.0,374.0,936.0,,387.0,309.0,1553,2238.0,726.0,-13.0,-3.0,1557.8,10.32956921,Accelerating,Braking
38:12.6,64.0,13262.0,139.0,37.0,376,376.0,375.0,936.0,,390.0,309.0,1547,2237.0,,-6.0,3.0,1553.0,7.968688725,Accelerating,Braking
38:12.7,67.0,13309.0,140.0,38.0,377,377.0,376.0,933.0,,392.0,310.0,1567,2238.0,726.0,20.0,1.0,1555.8,10.13410085,Accelerating,Accelerating
38:13.3,67.0,13278.0,,38.0,374,374.0,373.0,933.0,14.0,390.0,,1580,2217.0,722.0,13.0,-3.0,1562.6,12.93445012,Accelerating,Accelerating
38:13.4,68.0,13294.0,140.0,37.0,373,373.0,372.0,932.0,15.0,388.0,310.0,1572,2222.0,723.0,-8.0,-1.0,1563.8,13.59043781,Accelerating,Braking
38:13.5,68.0,13278.0,139.0,,375,375.0,375.0,932.0,14.0,389.0,309.0,1559,2229.0,724.0,-13.0,2.0,1565.0,12.62933094,Accelerating,Braking
38:13.5,71.0,13262.0,140.0,37.0,374,374.0,374.0,929.0,,389.0,310.0,1567,2232.0,725.0,8.0,-1.0,1569.0,7.71362431,Accelerating,Accelerating
38:13.6,71.0,13278.0,139.0,36.0,375,375.0,375.0,929.0,14.0,388.0,309.0,1539,2251.0,729.0,-28.0,1.0,1563.4,15.63009917,Accelerating,Braking
38:14.0,70.0,13325.0,139.0,37.0,378,378.0,378.0,930.0,,392.0,309.0,1554,2241.0,727.0,15.0,3.0,1558.2,12.79453008,Accelerating,Accelerating
38:14.0,72.0,13309.0,140.0,38.0,380,380.0,378.0,928.0,,394.0,310.0,1575,2225.0,724.0,21.0,2.0,1558.8,13.64551208,Accelerating,Accelerating
