Timestamp,AFRDifference,BatteryVoltage,IgnitionTiming,CurrentDutyCycle,Load,IgnitionLoad,MAPSource,LambdaSensor1,ThrottlePosition,BaseFuel,BaseIgnition,RPM,TransientThrottleEnrichSensitivity,TransientThrottlePercentageAsync,RPM_delta,Load_delta,RPM_roll_avg,RPM_roll_std,DrivingStyle,Behaviour
05:42:35.312,20.0,13247.0,,23.0,388.0,388.0,387.0,980.0,0.0,344.0,,1075.0,2672.0,,,,,,Neutral,Cruising
05:42:36.265,-3.0,13231.0,,24.0,370.0,370.0,369.0,1003.0,,345.0,,1130.0,2653.0,783.0,55.0,-18.0,,,Neutral,Accelerating
05:42:36.765,7.0,13216.0,,24.0,381.0,381.0,382.0,993.0,,348.0,,1120.0,2660.0,784.0,-10.0,11.0,,,Neutral,Accelerating
05:42:36.953,18.0,13341.0,,23.0,380.0,380.0,380.0,982.0,,341.0,,1068.0,2699.0,791.0,-52.0,-1.0,,,Neutral,Braking
05:42:37.015,12.0,13309.0,,23.0,382.0,382.0,383.0,988.0,,343.0,,1082.0,2689.0,790.0,14.0,2.0,1095.0,28.05352027821107,Neutral,Accelerating
05:42:37.078,13.0,13278.0,251.0,24.0,384.0,384.0,385.0,987.0,,348.0,,1116.0,2663.0,785.0,34.0,2.0,1103.2,26.70580461248078,Neutral,Accelerating
05:42:37.140,13.0,13278.0,250.0,24.0,383.0,383.0,383.0,987.0,,345.0,,1098.0,2670.0,787.0,-18.0,-1.0,1096.8,22.117866081518805,Neutral,Braking
05:42:37.203,7.0,13309.0,,23.0,383.0,383.0,383.0,993.0,,342.0,,1071.0,2696.0,791.0,-27.0,0.0,1087.0,20.02498439450078,Neutral,Braking
05:42:37.265,7.0,13341.0,,24.0,384.0,384.0,385.0,993.0,,345.0,,1111.0,2684.0,789.0,40.0,1.0,1095.6,19.034179782696185,Neutral,Accelerating
05:42:37.437,11.0,13106.0,,24.0,388.0,388.0,388.0,989.0,0.0,346.0,,1088.0,2698.0,791.0,-23.0,4.0,1096.8,18.13008549345536,Neutral,Braking
05:42:37.484,-1.0,13262.0,,25.0,388.0,388.0,387.0,1001.0,1.0,350.0,,1120.0,2675.0,787.0,32.0,0.0,1097.6,19.24318061028376,Neutral,Accelerating
05:42:37.578,3.0,13262.0,,24.0,382.0,382.0,382.0,997.0,0.0,346.0,,1103.0,2666.0,787.0,-17.0,-6.0,1098.6,19.398453546610384,Neutral,Braking
05:42:37.969,25.0,13294.0,,,377.0,377.0,377.0,975.0,1.0,352.0,,1175.0,2618.0,777.0,72.0,-5.0,1119.4,33.23100961451518,Neutral,Accelerating
05:42:38.031,22.0,,,25.0,375.0,375.0,374.0,978.0,1.0,350.0,,1160.0,2630.0,779.0,-15.0,-2.0,1129.2,37.130849707487165,Neutral,Braking
05:42:38.094,19.0,13294.0,,24.0,373.0,373.0,373.0,981.0,0.0,347.0,,1138.0,2647.0,782.0,-22.0,-2.0,1139.2,29.132456127144497,Neutral,Braking
05:42:38.172,14.0,13247.0,,25.0,376.0,376.0,377.0,986.0,1.0,352.0,,1173.0,2614.0,777.0,35.0,3.0,1149.8,30.028319966325107,Neutral,Accelerating
05:42:38.812,3.0,13309.0,,,371.0,371.0,371.0,997.0,,348.0,,1163.0,2621.0,779.0,-10.0,-5.0,1161.8,14.754660280738417,Neutral,Braking
05:42:38.922,11.0,13200.0,,25.0,369.0,369.0,369.0,989.0,,349.0,,1179.0,2609.0,777.0,16.0,-2.0,1162.6,15.72577502064684,Neutral,Accelerating
05:42:38.984,11.0,13200.0,,26.0,368.0,368.0,367.0,989.0,,351.0,,1196.0,2603.0,774.0,17.0,-1.0,1169.8,21.44061566280224,Neutral,Accelerating
05:42:39.047,19.0,13278.0,,25.0,365.0,365.0,366.0,981.0,,349.0,,1178.0,2605.0,775.0,-18.0,-3.0,1177.8,11.987493482792848,Neutral,Braking
05:42:39.687,24.0,13309.0,,,372.0,372.0,371.0,976.0,,349.0,,1156.0,2627.0,780.0,-22.0,7.0,1174.4,15.565988564816614,Neutral,Accelerating
05:42:39.750,30.0,13262.0,,,372.0,372.0,372.0,970.0,,348.0,,1148.0,2613.0,777.0,-8.0,0.0,1171.4,19.308029417835524,Neutral,Braking
05:42:39.812,26.0,13309.0,,,373.0,373.0,373.0,974.0,,351.0,,1177.0,2620.0,778.0,29.0,1.0,1171.0,19.13112646970905,Neutral,Accelerating
05:42:40.672,17.0,13294.0,,25.0,371.0,371.0,372.0,983.0,,351.0,,1163.0,2604.0,776.0,-14.0,-2.0,1164.4,13.088162590677204,Neutral,Braking
05:42:40.734,13.0,13278.0,,24.0,373.0,373.0,373.0,987.0,,346.0,,1131.0,2636.0,781.0,-32.0,2.0,1155.0,17.13184169901189,Neutral,Braking
05:42:41.500,23.0,13169.0,250.0,25.0,368.0,368.0,368.0,977.0,,349.0,,1181.0,2608.0,776.0,50.0,-5.0,1160.0,20.76053949202676,Neutral,Accelerating
